Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-600,-2000,-2050,-3350,-3950,-5750,-6250,-6550,-6750,-7150,99,Horstmann
-1450,-1500,-2000,-3850,-4600,-4850,-6850,-6950,-7050,-7050,100,Horstmann
-1550,-1550,-2800,-3050,-3300,-4100,-4700,-4950,-6200,-6200,101,Horstmann
-1500,-1850,-3450,-3700,-4000,-4200,-4450,-4650,-4950,-5200,102,Horstmann
-1750,-2300,-2300,-2350,-4850,-6100,-7350,-7350,-8600,-9850,103,Horstmann
-1650,-2300,-2350,-2850,-3150,-3200,-4750,-4950,-5000,-6450,104,Horstmann
-2000,-2000,-3400,-3700,-4000,-5750,-6300,-6450,-7150,-7350,105,Horstmann
-1600,-3100,-3350,-3650,-3650,-4950,-6250,-6600,-7000,-7400,106,Horstmann
-1850,-2200,-2500,-2550,-2850,-3300,-4550,-4850,-6100,-6350,107,Horstmann
-50,-1550,-3350,-4050,-4100,-5900,-6250,-7500,-7650,-7900,108,Horstmann
-200,-1000,-2350,-3550,-4100,-4350,-4450,-4750,-5050,-5350,109,Horstmann
-1000,-1400,-1400,-2650,-3150,-4650,-5050,-5350,-5400,-5650,110,Horstmann
-1250,-1800,-3050,-3750,-3750,-4350,-5850,-7100,-7100,-7500,111,Horstmann
-700,-1950,-3400,-5050,-5300,-7550,-7650,-9750,-10150,-11950,112,Horstmann
-1300,-1650,-2100,-3700,-5500,-5500,-6200,-6250,-6650,-6650,113,Horstmann
-1700,-1800,-2600,-3900,-4700,-4950,-5000,-5700,-6050,-6950,114,Horstmann
-1450,-2050,-2600,-3000,-3450,-4200,-4200,-6050,-6200,-8250,115,Horstmann
-400,-700,-2200,-2650,-3050,-4700,-5300,-5650,-7100,-7550,116,Horstmann
-300,-2250,-2500,-2700,-4150,-6250,-6250,-6500,-6500,-9550,117,Horstmann
-1850,-2400,-3650,-3800,-6850,-7550,-7800,-9200,-10450,-11700,118,Horstmann
-350,-1800,-3300,-3300,-4800,-6050,-7300,-7600,-7650,-8900,119,Horstmann
-1550,-2400,-2700,-4200,-4600,-5150,-5150,-5250,-5800,-6150,120,Horstmann
-100,-2100,-2300,-2850,-2900,-2900,-3150,-5900,-6550,-6800,121,Horstmann
-550,-750,-2650,-2900,-3250,-3650,-3900,-3900,-5750,-6050,122,Horstmann
-650,-750,-2350,-2650,-3000,-4550,-4900,-5150,-5550,-6500,123,Horstmann
0,-650,-2150,-3450,-4800,-6050,-6400,-6700,-8350,-9650,124,Horstmann
-1350,-1650,-2300,-3000,-3250,-3600,-4900,-5350,-5650,-7000,125,Horstmann
-1900,-1950,-3600,-3850,-4000,-4500,-5850,-5900,-6300,-6350,126,Horstmann
-550,-1100,-1500,-1800,-3550,-3550,-5100,-5400,-6950,-8200,127,Horstmann
-600,-2300,-2550,-2800,-3100,-3600,-3950,-4200,-4350,-4650,128,Horstmann
-650,-1950,-2250,-2450,-3050,-3800,-4000,-5950,-6000,-6100,129,Horstmann
-350,-1850,-2550,-2800,-3050,-3150,-4950,-5300,-5650,-6900,130,Horstmann
-1950,-2400,-3650,-4150,-4250,-4500,-5800,-5900,-6200,-7500,131,Horstmann
-50,-2200,-2600,-3200,-3550,-3800,-4150,-4400,-5050,-5100,132,Horstmann
-1700,-2000,-2250,-2500,-4050,-4100,-5600,-6000,-7250,-7850,133,Horstmann
-600,-2300,-2900,-3300,-4000,-5750,-6400,-7950,-8400,-8500,134,Horstmann
-300,-2550,-2800,-2850,-3400,-3700,-3900,-4100,-4400,-4650,135,Horstmann
-500,-1750,-2250,-2550,-3000,-5100,-5450,-5900,-6350,-6600,136,Horstmann
-400,-2300,-3550,-4800,-4950,-4950,-5600,-5950,-6150,-6400,137,Horstmann
-200,-1700,-3550,-4450,-4500,-4800,-5300,-5700,-6100,-6450,138,Horstmann
-300,-3350,-3800,-4150,-4350,-5650,-5800,-5850,-7350,-9200,139,Horstmann
-300,-1900,-3200,-4500,-4500,-5750,-7050,-8350,-9700,-10100,140,Horstmann
-300,-300,-1800,-2450,-4000,-4050,-5300,-5600,-7100,-7100,141,Horstmann
-400,-2200,-2250,-2950,-3250,-3650,-3950,-4200,-4300,-4350,142,Horstmann
-250,-550,-2400,-2650,-3050,-3350,-3850,-5300,-6000,-6350,143,Horstmann
-1900,-2300,-2550,-3800,-3850,-5100,-5550,-5550,-7100,-8600,144,Horstmann
-1500,-1500,-1850,-3350,-4750,-6000,-7250,-7550,-7800,-9050,145,Horstmann
-250,-2300,-2300,-3550,-3900,-4550,-6300,-7200,-7450,-9250,146,Horstmann
-1450,-1750,-1900,-2050,-2300,-2450,-2600,-3650,-5300,-5400,147,Horstmann
-950,-1300,-2700,-3150,-3650,-4000,-4150,-5450,-5800,-7300,148,Horstmann
-600,-1850,-2100,-2200,-2700,-2750,-3150,-3450,-3500,-5150,149,Horstmann
-1450,-1750,-2450,-2950,-4850,-5000,-5650,-5700,-7300,-7800,150,Horstmann
-500,-1950,-1950,-4450,-4750,-5350,-5500,-5650,-5850,-6050,151,Horstmann
-100,-1600,-1850,-3150,-3200,-3450,-4700,-6200,-6300,-8250,152,Horstmann
