Losses_10,Losses_20,Losses_30,Losses_40,Losses_50,Losses_60,Losses_70,Losses_80,Losses_90,Losses_100,Subj,Study
-50,-450,-850,-2350,-4150,-4450,-4825,-7250,-7275,-9275,439,Wood
-150,-500,-2250,-3000,-5000,-5550,-7450,-8125,-8150,-10725,440,Wood
-50,-250,-2000,-4350,-4950,-5500,-7675,-9925,-10475,-10875,441,Wood
-50,-1350,-3100,-3700,-3900,-4275,-4875,-5200,-7650,-8075,442,Wood
0,-250,-525,-2125,-3425,-5025,-5775,-7550,-7975,-10175,443,Wood
-150,-500,-2200,-2850,-4450,-5125,-5150,-7300,-7625,-9625,444,Wood
-50,-250,-1850,-2175,-4025,-4300,-6525,-6825,-7300,-7750,445,Wood
-1250,-1700,-3500,-5250,-5550,-5800,-8150,-8250,-11100,-11400,446,Wood
0,-200,-2000,-3700,-5750,-6450,-6875,-9150,-9875,-9900,447,Wood
0,-500,-1800,-3800,-5800,-6200,-6525,-8525,-10775,-10800,448,Wood
-150,-1400,-1700,-1975,-4225,-4525,-5075,-5425,-5425,-5925,449,Wood
-200,-700,-1350,-2000,-3800,-4350,-6150,-7050,-7475,-9350,450,Wood
-200,-550,-2050,-2400,-4850,-4975,-5525,-7550,-7900,-8375,451,Wood
-50,-250,-1900,-2175,-4375,-5075,-7325,-7700,-8200,-8550,452,Wood
-200,-700,-2050,-2500,-2700,-3025,-3350,-3725,-4025,-4300,453,Wood
-150,-750,-1000,-2500,-3175,-4025,-5575,-7950,-8450,-8775,454,Wood
-50,-600,-850,-2650,-3450,-3975,-5725,-6100,-6850,-9200,455,Wood
0,-1750,-3500,-4050,-6150,-6200,-8250,-8525,-8825,-11425,456,Wood
-150,-1450,-2000,-2300,-4400,-6475,-6525,-8525,-11125,-11150,457,Wood
-50,-550,-2050,-3850,-6000,-8100,-8125,-8750,-11525,-11875,458,Wood
-1250,-1350,-1600,-1875,-2175,-2500,-2850,-3225,-4025,-4300,459,Wood
-200,-250,-1850,-3600,-5650,-8025,-8100,-10350,-10350,-13475,460,Wood
-200,-250,-1850,-3600,-5650,-8025,-8100,-10350,-10350,-13475,461,Wood
-100,-1500,-1550,-3850,-4150,-5925,-6300,-6300,-8975,-8975,462,Wood
-150,-1750,-2000,-4200,-5100,-5325,-7150,-7450,-10000,-10325,463,Wood
-650,-1950,-2600,-4500,-6500,-7300,-9700,-9950,-10650,-10950,464,Wood
-200,-450,-725,-1025,-1350,-1700,-2075,-3325,-3950,-4200,465,Wood
-150,-550,-800,-2750,-3450,-5425,-5900,-7975,-8850,-9225,466,Wood
0,-500,-800,-1750,-3100,-4650,-7025,-7100,-9100,-11350,467,Wood
-250,-475,-1725,-3375,-3625,-3900,-4200,-4525,-4875,-5550,468,Wood
-50,-550,-2050,-2400,-4625,-5000,-5575,-7800,-8125,-10525,469,Wood
